rating,tanggal,ulasan,sentimen,,label
5,7 tahun lalu,"Suka sekali kalo belanja disini, tempatnya luas, pilihannya banyak, parkirnya luas bgt dan gratisss...

Masjidnya besar, bersih, mukenanya juga bersih, tempat wudhu dan toilet nya ok.

Belanja disini murah dan bisa delivery gratis🤗🤗",positif,,2
2,8 bulan lalu,"Tempat belanja paling lengkap, dari kecil sering banget kesini sama keluarga. Ada food court dan tempat hiburannya juga. Sering banget main ke fun city tapi sayang ac nya ga sedingin yang di supermarket, sudah komplain ke pihak fun city tapi katanya memang ac dari gedung. Mohon untuk diperhatikan kembali mengenai kondisi ac, terlebih lagi saat weekend banyak sekali customer yang datang 🙏",netral,,1
5,6 bulan lalu,"betah belanja disini, selain lengkap tempatnya juga nyaman",positif,,2
5,8 tahun lalu,"Super market komplit, harga cukup, tempat luas dan nyaman.
Ada area bermain anak.
Ada food court
Masjid besar.
Parkir mobil sangat luas dan gratis !",positif,,2
5,5 bulan lalu,lengkap dan terjangkau. area parkir luas,positif,,2
5,Diedit 7 tahun lalu,"Swalayan, masjid, pasir, cuci mobil, tempat makan, bermain game dkk. recommended, parkir luas dan gratis",positif,,2
4,5 tahun lalu,"Area belanja dan parkir luas, dekat masjid. Cuma kebersihan tidak masuk sangat bersih",netral,,1
4,8 tahun lalu,"T4nx luas,,ada permainanx,t4 belanja buat keluarga,mau cari buku islami ada,baju muslim anak dan dewasa..",positif,,2
4,4 tahun lalu,Hypermarket yang adi sekitaran kartasura. Untuk beberapa item memang lebih murah. Selain itu juga tidak jarang digunakan sebagai kulakan pedagang sembako.,positif,,2
5,6 tahun lalu,"Tempat belanja grosir , harga cukup murah, mayoritas muslim",positif,,2
5,5 bulan lalu,"saya memilih assalam market untuk belanja kebutuhan kos saya, karena delet dan lengkap😍",positif,,2
5,Diedit 2 tahun lalu,"Tempat belanja yg luas, parkir gratis untuk motor, parkir mobil per 1 Agustus 2023 bayar.
Wahana utk anak juga ada, Kids Fun dan Kings Fun.",positif,,2
1,Diedit 2 tahun lalu,"Kamis ( 5 Oktober 2023 ) Pukul 12.35
Stand Jaga timbangan buah dan sayur wanita agak gendut ( datang nimbang buah malah duduk duduk ada orang mau nimbang ga dikasih greeting atau langsung berdiri malah pembeli yang musti nunggu dia berdiri, setelah ditimbah ngasih barang juga seperti sampah diem aja tanpa ngomong apa tanpa tatapan mata ) ditambah lagi pegawai wanita yang sudah senior pakai kacamata sering bgt kalau belanja disini ga ramah sama sekali )
Saya lihat juga banyak karyawan yang jaga stand timbangan ( sayur buah dan daging ) sama semua hanya duduk duduk)
Setelah selesai bagian kasir depan juga sama judes tanpa greeting
Saya sering belanja disini tapi kalau Attitude karyawan seperti itu juga lama lama malas...",negatif,,0
5,4 tahun lalu,"Bismillah ...
Tempatnya nyaman dan luas, ada masjidnya, pokoknya islami bgt.....
Cocok buat jalan2 dan belanja....
Market barang belanjaanya kompliit, harga  pas di kantong..... Pasti juga ada banyak promo....

Jangan lupa juga mampir ya di jajanan *tahu bakso IJJO khas ungaran*
Beli banyak bisa dpt bonus...
He..he...",positif,,2
5,6 bulan lalu,"Q suka Brlanja buat umkm q disini, brangnya lengkap soalnya",positif,,2
5,setahun lalu,Supermarket sedia popok Makuku dan popok dewasa Parenty. Nyaman buat belanja,positif,,2
5,7 tahun lalu,"Tempat bagus, bersih, masjidnya bagus, pamerannya selalu bagus, jajanan banyak dan lumayan enak, waktu ke pameran dapat beli dua buku ini. Banyak diskon pula. Alhamdulillah",positif,,2
5,7 tahun lalu,"Tempat favorit untuk belanja, lengkap, murah, dan banyak diskon. Seneng lagi kalo diatas jam 7 malam ada buah yg diskon 50% 😍 Karyawannya juga baik"", kalo belanjaan banyak diambilkan troli, tanpa saya suruh. Sayangnya kosmetik hanya sedikit.",positif,,2
1,4 bulan lalu,Minimal parkirnya bisa qris lah blok,negatif,,0
5,6 bulan lalu,"Tempat luas, ada masjidnya, lengkap",positif,,2
5,setahun lalu,"Dulu waktu masih di Solo, seneng banget ke sini. Naik motor, kadang naik sepeda.
Apalagi pas ada bazar, wuiiih berlipat-lipat senengnya. Bareng-bareng temen ke sini.
Selain tempat belanjanya yang nyaman, masjidnya juga masyaAllah, nggak kalah nyaman. Bener-bener layak jadi tempat belanja terfavorit.",positif,,2
5,3 tahun lalu,"Harganya murah, nyaman, luas tempatnya, produk lengkap, fasilitas juga lengkap, pegawainya ramah, banyak event juga dan ada senam sehat juga untuk umum. Hypermarket muslim terbaik di jawa tengah",positif,,2
4,6 tahun lalu,Tempat nya strategis.. Pinggir jln utama.. Lengkap.. Ada arena bermain ank.. N parkir luas..,positif,,2
5,7 tahun lalu,Belanja murah dan legaaa.. tempatnya luas besar.. ada mainannya pula jd anak2 bs main saat nunggu ortunya blanja,positif,,2
5,6 bulan lalu,Masjidnya besar banyak outlet UMKM fesyen dan banyak gerai makanan,positif,,2
5,6 bulan lalu,"belanja di assalam hypermat sangat recommended, selain lengkap harga disana juga ramah dikantong",positif,,2
3,setahun lalu,"Udah sering belanja kesini, terus iseng nyoba beli takoyaki di shelter jajanan di assalam hypermart. Kapok sekali, mbak2 penjual takoyakinya judes minta ampun saya inget dia pake masker, ber kacamata, & jilbabnya ga dipeniti. Ada pembeli bukannya berdiri melayani malah duduk diem aja sambil main hp, ngelayanin jg ogah ogahan. Yg punya outlet takoyaki semoga baca ya, supaya diperbaiki lagi pelayanannya",negatif,,0
1,8 bulan lalu,"yg jaga tiket karcis masuk mobil kasar & tidak sopan, mohon ditindaklanjuti (14/9/2025) 08.00",negatif,,0
5,Diedit 4 tahun lalu,Tempat luas.parkir gratis. Masjid bersih harga bersaing,positif,,2
5,4 tahun lalu,"Tempat yang lengkap mulai dari kebutuhan dapur hingga rumah tangga. Selain itu ada juga tempat main keluarga, seru lagi kalo ada pameran, jadi makin serba ada deh",positif,,2
5,6 tahun lalu,"Kesini buat manah sama berkuda, tqpi syangnya pelayanan menurutku msih kurang.. Berpanah 15, tapi cuma dikasih panah 4, itu buat gantian lagi.. Yg pemula ada yang mau ngajari sih",positif,,2
5,7 tahun lalu,"harga market bersaing. paling seneng ke sana pas sekalian pameran buku dan baju muslim. rame, ditambah ada spot solo berkuda dan panahan.",positif,,2
5,7 tahun lalu,Swalayan yang bernuansa islami. Parkiranya luas dan mejual berbagai kebutuhan,positif,,2
5,setahun lalu,"Luassss ademmm cocok buat belanja, jg ada foodcourtnha",positif,,2
5,setahun lalu,"Sy org Jogja dan tinggal di Jogja, pertama kali kenal swalayan ini, sekitar 5 th yg lalu saat nganterin Ibu mertua belanja bulanan, dan sy kaget sih, selain produknya yg super lengkap, harganya juga muraaahh, selain itu area parkir kendaraan juga luas, trus poin plusny ada masjidny yg besar, pokokny the best lah.

sayangny cuma ada di Sukoharjo 🥲. Semoga ownerny berkenan buka cabang di Jogja 😆",positif,,2
2,10 bulan lalu,"Tolong donk manajemen Goro
Di jalan raya depan masjid klo bisa kasih portal
Biar gak ada truck2 yg parkir di sebelah situ.
Klo kita mau puter mobil susah ..",negatif,,0
5,5 bulan lalu,"Barang lengkap, harga oke, pelayanan mantap",positif,,2
5,6 tahun lalu,"Bagussss bangett, sering banget aku kesini karna lengkap dan murah²,toilet juga bersih,banyak yg jualan makanan didepan, ada food courtnya juga, ada masjid juga, dan kadang ada pementasan lumba²😍😍😍",positif,,2
4,Diedit 7 tahun lalu,Pusat perbelanjaan yang lumayan bisa gratis parkir motor,positif,,2
5,7 tahun lalu,ya knpa saya kasih bintang 5. karna ya menurut sya ini supermarket yg bisa d katakan lengkap .insyaallah kebutuhan dapur. saya cari d sini terus ada kok. hehe. kalau fasilitas jng d tanya deh. parkir aja free.ada masjidnya. lengkap deh. cobain aja,positif,,2
5,setahun lalu,"Tempat belanja dengan fasilitas yang lengkap, selain itu barangnya juga lengkap mulai dari barang kebutuhan sehari-hari, daging, ikan, frozen food, makanan instan, bahkan pakaian dan sandal sepatu juga ada. Selain itu ada food courtnya juga. Kadang dihalamannya juga ada pameran. Harga barangnya bersaing. Yang unik saat waktu sholat ada adzan didalam swalayan dengan suara cukup keras.",positif,,2
5,7 tahun lalu,"Penjualnya ramah, saya ma teman saya disuruh nyicip gratis dulu karna kita pertama kali kesana. Harga murah juga, boleh ngemix bubur. Enak puoll",positif,,2
5,8 tahun lalu,Tempat yg tepat untuk persiapan puasa dan lebaran 😉,positif,,2
4,4 tahun lalu,Sebaiknya diadakan edukasi terkait kartu member. Apa keuntungannya dan bagaimana cara mendapatkan keuntungan dari keanggotaan member.. Dan juga di publikasikan,netral,,1
5,7 tahun lalu,Fasilitas masjid yang besar dan pilihan produk yang murah dan harga bersaing..  InsyaAllah,positif,,2
4,5 tahun lalu,"Cukup lengkap dan nyaman, aisle nya juga lebar untuk customer",positif,,2
5,9 bulan lalu,Bagus tempatnya. Masakan oke enak,positif,,2
5,Diedit 5 tahun lalu,"Supermarket, masjid luas, kuliner, all in one.. lokasi strategis untuk istirahat perjalanan jarak jauh.",positif,,2
5,5 tahun lalu,Tempat luas..barang2 komplit..harga miring..parkir gratis,positif,,2
5,8 tahun lalu,Sepi. Mungkin perlu dibuat event menarik konsumen. Tapi takoyakinya enak.,netral,,1
2,setahun lalu,"Saya baru berkunjung di goro assalam jadi bingung untuk pintu masuk dan keluar parkir, kebetulan saya parkir motor saya bingung saat akan keluar karena pintu keluar motor terlalu kecil dan petunjuk tidak terlihat, alhasil saya salah jalan keluar lewat pintu masuk karena tidak nemu pintu keluar motor, disitu saya dibentak2 bapak2 entah security/tukang parkir, orangnya tinggi besar rambutnya agak botak, saya sampai terkaget dan terdiam karena masih bingung,apakah pantas membentak pengunjung? Seharusnya di arahkan dengan baik. ( fyi saat itu akhirnya saya memutar masuk lagi ke dalam dan mencari2 pintu keluar motor )",negatif,,0
5,5 bulan lalu,"tempat bersih,bagus, terjangkau",positif,,2
5,8 tahun lalu,"Tempat belanja yang nyaman dan adem untuk keluarga, tersedia masjid yang besar untuk sholat, permainan anak anaknya pun tersedia....
Jadi bisa belanja sembari untuk rekreasi anak anak..",positif,,2
4,5 bulan lalu,Parkiran luas,positif,,2
5,7 tahun lalu,Belanja lengkap.. kadang ada acara pameran buku murah.. promo buah naga 600/100gr. Jeruk kino 1200/100gr,positif,,2
5,setahun lalu,"lengkap, tempatnya nyaman, dan pelayanannya ramah sekali 👍",positif,,2
5,5 bulan lalu,harganya terjangkau dan banyak promo,positif,,2
4,setahun lalu,"Tempat  enak ,harga  barang murah²
tapi  buat catatan penting perlu di evaluasi penting petugas E tiketing parkir mobil yang perempuan agak galak dan sinis !!!!!!! Tolong diperhatikan",netral,,1
5,setahun lalu,"Produk lengkap, banyak promonya harga murah2 dripada toko sebelah, staffnya pun ramah2 dan mau membantu mencarikan barang yg kita gak tau posisinya",positif,,2
5,3 bulan lalu,Tempat luas dan komplit.,positif,,2
5,setahun lalu,tempat strategis jalur solo semarang ada masjid besar bisa untuk sholat jum'at berjamaah dan parkir luas bisa untuk parkir beberapa bus,positif,,2
5,4 tahun lalu,Banyak promo... Sekarang makim rame banyak stand stand di dalem... 👍🏼👍🏼👍🏼,positif,,2
5,6 tahun lalu,"Tempat berbelanja dengan harga terjangkau, dan pelayanan ramah",positif,,2
4,5 bulan lalu,Worth it buat family time di weekend,positif,,2
5,4 tahun lalu,"Lumayan lengkap, tidak mahal. Parkir gratis. Banyak stand Jajanan kuliner di area parkir depan",positif,,2
3,2 tahun lalu,"Pasar konsep modern one stop shopping.

Ada hal ansh yg sangat menarik bagi saya, utamanya dengan judul hypermarket yang Islami, Assalaam. Semenjak selalu harus ke solo setiap tahun karena diberikan rumah sederhana oleh Allah SWT, akhirnya harus paham mapping belanja area Surakarta ini. Salah satunya adlh Assalaam Hypermaekt. Balik ke ansh atau uniknya yg saya perhatikan adlh khusus tentang fashion Islami. Banyak stall/gerai produk pakaian Islami di dalam gedung hypermarket. Yang saya tak habis pikir adalah tag price/harga jualnya. Saya sudah 3tahun per tahun memperhatikan hal ini.
Contoh sederhana, ada butik di luar gedung dgn sebuah brand u/ pakaian muslim pria. Di sana dengan harga A, di dalam ada produk yang persis sama dijual di stall/lapak sewa dgn harga A+½A. Ketika menawar hampir tidak bisa ditawar pun jika nego hanya sedikit sekali kurangnya. Apakah hal seperti ini yang membuat pasar/ekonomi Islam menjadi MUNDUR ya?
Semoga bisa dibaca market maupun justru para pedagang di stall/lapak sewa. Saya hanya sekadar curious aja sih. Mau belanja? Utamanya di stall tersebut? Tentu saja TIDAK. Di tempat lain bahkan harganya bisa minus A.
Yang saya pahami, Rasulullah mengajarkan biar untung sedikit tapi laris banget. Dari pada untung besar targetnya tapi hanya jual 1-3 item per hari. Jauh banget dgn psikis dan fakta yang saya alami, bahkan dgn cara berpakaian serta tindak tanduk para pedagang yang _Islami_ .
Menarik sekaligus sangat curious untuk saya pribadi. 🤗",negatif,,0
5,7 bulan lalu,Semua ada disini,positif,,2
5,5 bulan lalu,"Pelayanan ramah, barang lengkap",positif,,2
5,5 tahun lalu,"tempat belanja deket UMS yang parkirnya luas dan gratis, barang juga komplit",positif,,2
1,setahun lalu,"Parkiran khusus ojol di depan lobby malah digunakan buat parkir mobil padahal sudah jelas2 ada gambar dan tulisannya, yg lebih parahnya lagi malah security nya nyuruh pindah cari parkiran di tempat yg jauh, ngapain tadi gak mobilnya aja yg suruh pindah apa emang sama2 buta map keduanya pemilik mobil dan security nya 👎🏻👎🏻",negatif,,0
5,setahun lalu,"Pelayanan ramah, ada wahana bermain biiar gak bosen belanja, barang2 bermacam macam harga terjangkau aksesibilitas mudah",positif,,2
5,2 tahun lalu,"Minta tolong ya, udah tau mau lebaran pasti tmpt ini rame. Karyawan juga banyak, masa yg ngasir gaada yg bantuin semua??? Semisal pgn yg belanja antri ya kasih fasilitas kursi dong biar kita ngantrinya enak. 1 orang aja selesai ngasirnya setengah jam. HADEHHHH.",negatif,,0
5,3 tahun lalu,"Hypermarket dengan pelayanan oke, ramah, dan cekatan.
Untuk harga bersaing dengan beberapa market di solo.
Semoga semakin jaya dan berkembang. aamiin",positif,,2
4,7 tahun lalu,Pusat belanja yang lengkap dengan fasilitas pendukung yang baik.,positif,,2
4,6 tahun lalu,"Mampir nyenengin anak liat pentas lumba-lumba, parkir luas & yg pasti gratis",positif,,2
5,4 tahun lalu,"Salah satu tempat paling recommended untuk one-stop shopping kebutuhan keluarga, belanja rumah tangga bulanan, aneka macam kulakan barang buat dijual kembali, dan juga update fashion khususnya penyuka muslim fashion.

Aneka macam jajanan juga tersedia di depan lobby buat yang suka camilan atau pengen nyobain kudapan. Mulai dari gurita bakar, tahu bakso, lumpia, tahu petis, mendoan, siomay, takoyaki, hingga ke minuman dingin seperti teh, olahan kopi, dan susu.

Tersedia juga 2 wahana permainan untuk anak berupa Fun City & Kids Station. Ditambah lagi ada Do-It-Yourself Store untuk berbagai macam peralatan penting di rumah / kantor. Pusat furniture, alat olahraga / fitness, penjualan mobil, service jam, aksesoris, dan terkini Selat Viens juga hadir di sisi tenggara.

Jangan lupakan juga adanya foodcourt di sisi barat dengan aneka menu pilihan, masjid Ibadurrahman yang bersih dan punya parkiran terpisah, adanya parkiran luas untuk mobil dan motor, serta di bagian belakang ada pusat Latihan berkuda, memanah, dan wahana ATV.

Secara rutin sekali juga ada kontes burung berkicau, dengan kadang ada event besar kompetisi burung tingkat daerah. Siap-siap ramai parkiran kalau pas ada event ini.

Secara berkala, mungkin setahun 3-4 kali juga ada event pameran buku & fashion yang cukup lengkap juga menyediakan kebutuhan fashion dan buku-buku Anda.

Di bagian depan ada showroom mobil bekas yang cukup luas dan banyak pilihan, ada juga barbershop dan pusat pendidikan barberman nya, dan ada ATM Center juga di dekat pos satpam.

Parkir selalu gratis, yg penting tiket parkir jangan sampai hilang. Bisa juga mengakses tempat ini dari pintu belakang.",positif,,2
5,7 tahun lalu,"Ternyata pilihan kirain umum  🙈 ikut lomba lagih d sinihh,,,,  semangaat bersama travel jamaah umrohh, terima kasih",netral,,1
1,2 tahun lalu,"Masukan yaaaaaa
Saya sudah lama langganan di sini
Tapi kali ini kecewa
Saya naik motor
Mau nyoto
Jalannya super jauh
Biasanya bisa parkir disamping. Seharusnya disoto dikasih parkir sendiri khusus soto
Tolong seperti ini dipertimbangkan",negatif,,0
5,6 tahun lalu,"Tempatnya luas, masjidnya bagus, sering ada pameran buku Islam",positif,,2
5,setahun lalu,"Salah satu pusat perbelanjaan terlengkap di Solo Raya, ecer maupun grosir, juga tersedia harga khusus untuk member.",positif,,2
5,2 tahun lalu,"parkiran motor lumayan memadai, tapi sering berubah, bayar 1000, parkiran mobil juga luas, nyaman, biasa pengajian tiap minggu 8-9,
lanjut belanja juga luas nyaman lengkap",positif,,2
5,4 tahun lalu,Penjual sangat ramah. Tempat belanja dan bermain sangat nyaman. Tempat beli kuliner juga enak dan nyaman.,positif,,2
5,setahun lalu,"Setiap ke solo ga mungkin ga mampir disini
Murah2 banget oi. Dibanding Semarang ya murah disitu. Tempat belanja fav. Tapi pas bulan puasa ramenya beh -_-
Buka cabang di Semarang plis :') bakalan jadi langganan setia kalo di Semarang",positif,,2
5,setahun lalu,"Salah satu mall paling legend nich. Sudah beberapa kali juga kesini, tidak banyak yang berubah jugaa dan fasilitas mall nya lengkap banget mulai dari kuliner, arcade, peralatan rumah tangga, dll. Harganya pun juga murah murah bangett..!! Pokok nya recommended deh belanja disini!",positif,,2
1,setahun lalu,"petugas parkirnya ga ramah, yang jaga stand bu ibu atau mba2 ya tapi dah agak tua sih, marah2 mulu 😡",negatif,,0
3,2 tahun lalu,"Udah langganan dari lamaaaa bgt sampe sekarang mama kalo belanja bulanan selalu di sini. Tapiiii mon maap nih, itu pohon bisa diganti gak sih, banyak ulernyaaa 😭😭😭 di pelataran masjid, parkiran motor haduuuh, yuk bisa yuk bikin pelanggan lebih nyaman 🙂",negatif,,0
5,6 bulan lalu,Harganya murah meriah dan lengkap,positif,,2
4,7 tahun lalu,"Tempat sangat strategis kareba twrletak di jalan raya antara kota Soli dan Boyolali. Tempat ini sangat luas areanya. Berbagai macam makanan dari tradisional sampai modern tersedia disini. Area parkirnya sangat luas dapat menampung kendaraan roda 4 lebih dari 50 buah. Tempatnya menyenangkan, sambil menikmati jajanan, kita dapat meilhat-lihat pemandangan disekitarnya. Dikomplek ini ada Masjid yang lumayan besar, masjid ini sangat membantu umat islam yang dalam perjalanan untuk melaksanakan sholat fardhu sambil istirahat sejenak. Masjid ini menyelenggarakan sholat jumat. Ditempat ini juga ada bursa jual beli mobil bekas. Untuk masuk komplek ini harus melalui gardu security. Banyak satpam dikomplek ini sehingga penjunjung  merasa nyaman ditempat ini. Dikomplek ini banyak pohon-pohon besar sehingga suasana terasa sejuk. Ditempat ini dapat juga untuk berselfi ria. Toilet ditempat ini banyak, sehingga pengunjung tidak perlu kawatir bila kepingin buang air kecil/besar. Tempat ini cocok juga untuk anak2. Pada hari minggu tempat ini juga ada pelayanan pembayaran pajak kendaraan secara online.",positif,,2
5,8 tahun lalu,Luassssss... Parkir gratissss... Dagangan lengkap...,positif,,2
4,11 bulan lalu,"Tempat perbelanjaan yang luas, lengkap, nyaman dan harga terjangkau.",positif,,2
5,Diedit setahun lalu,"Pusat belanja dengan konsep bangunan bernuansa Islam. Parkir luas dan gratis. Tersedia foodcourt dengan ragam makanan yang dapat menjadikan pilihan besantap yang nyaman..dan enak. Masjidnya luas dan bagus. Bersih, harga affordable dan Islami.",positif,,2
1,2 tahun lalu,Saran saja kalau ada event minta untuk parkirnya juga dipersiapkan. Td parkiran sampai overload motor di taruh sembarangan tidak ditata dan tidak ada petugas parkir nya. kemudian pintu keluar hanya dibuka satu pintu. Akibat nya antrian panjang keluar desak2an saling rebutan untuk keluar parkir. Kasihan saja untuk ibu2 atau anak2,negatif,,0
5,2 tahun lalu,Dari kecil goro selalu jadi tmpt pilihan bwt belanjan..smpe skrng sudah punya anak 2..cuma barusan saya jajan di food court di bagian mom milk..nunggu makanan terlalu lama..hampir 1 jam..sangat² disayangkan..dan mengecewakan..harus di tindak tegas untuk bagian pengawasan agar tidak terulang lagi ke pelanggan² goro lainnya..kecewa hanya karena nunggu makanan terlalu lama..kalau perlu di beri peringatan terakhir untuk bagian ruko mom milk..terlalu lama,negatif,,0
5,setahun lalu,"Tempatnya legaa, lengkap serba ada
Kasirnya ramah², cuma agak jauh aja sih dari rumah .",positif,,2
4,7 tahun lalu,Pengunjung stand Puzzle IQ-Jogja di event Pameran Buku Netral 30 Nov-9 Des 2018.,netral,,1
5,5 tahun lalu,Beli tahu baxo di area pkl depan parkir Hipermarket Goro Assalam.,netral,,1
5,Diedit 9 tahun lalu,"Parkir gratis, masjid besar, mall islami. Ada kolam renang lbh siip",positif,,2
1,2 tahun lalu,"Kalau hari sabtu ada kajian,kdg yg mengisi adem ayem penyampainnya,ada juga yg teriak2 bikin kalau mau masuk belanja terasa sangat tidak nyaman sampai parkiran",negatif,,0
5,5 tahun lalu,"Lengkap, semua kebutuhan ada. Harga murah, banyak promo. Pelayanan bagus, tempat bersih dan luas. Parkir juga luas. Ada tempat mainan anak yang permainannya banyak, hadiahnya juga banyak. Dan yg paling ok, harga koin murah banget. Di depan Goro juga ada yg jual makanan kecil, makanan utk makan besar, jadi abis belanja bisa beli snack atau makan. Di belakang ada tempat naik kuda. Masjid tempat sholat bersih dan besar. Super lengkap pokoknya. Very recommended 👍",positif,,2
4,Diedit 5 tahun lalu,"Tempat belanja yang recommended untuk belanja bulanan,baik utk ibu rumah tangga maupun anak kos. Karena produk2 nya lengkap, seperti produk elektronik dan produk alat olahraga ada juga untuk alat2 perkakas tersedia di sini, untuk yg suka baca2 buka ada berbagai macam buku tersedia, pakaian muslim/muslimah pun juga ada di sini. Tempat nya yang luas memberikan kenyamanan bagi pengunjung utk berbelanja. Fasilitas parkiran luas baik roda 2 maupun 4, tersedia juga masjid dan toilet umum, ada juga penjual makanan di depan dan di samping dekat masjid yg menyediakan berbagai menu. Bagi kaum cowok yang ingin pangkas rambut, ada fasilitas baberking yg siap memaksimalkan penampilan rambut anda.",positif,,2
1,2 tahun lalu,"Dalam kondisi tertentu misal tabligh akbar, lomba, dll- seharusnya ada rekayasa parkir, saya harus menunggu satu jam untuk mengeluarkan motor dari tempat parkir karena pintu keluar parkir cuman satu

Mohon dievaluasi, semoga Hypermart tetap jadi pilihan masyarakat",negatif,,0
5,6 bulan lalu,pelayanan bagus harga terjangkau,positif,,2
1,setahun lalu,"Parkiran jauh dan palang pintu keluar cuman 1 harusnya ditambah, parkiran macet panjang  cuman antri buat keluar",negatif,,0
5,7 tahun lalu,Mantap harga nya terjangkau parkir gratis,positif,,2
4,6 tahun lalu,Tempatnya belanja yg luas nyaman dan murah2,positif,,2
5,4 tahun lalu,"Dari 15 thn yg lalu selalu belanja bulanan disini. Tempatnya luas, parkirnya gratis, barangnya lengkap, pembayaran mudahmau debit atw CC ga kena bunga. Ada poin yg bs ditukar. Ngajak anak juga aman.",positif,,2
5,4 tahun lalu,Tempat belanja enak nyaman murah... Suasana sangat asyik..,positif,,2
5,5 tahun lalu,"Tempat belanja kebutuhan harian dan bermain anak. Sangat cocok untuk keluarga temen-temen sekalian. Soal harga jangan khawatir, ramah dikantong. Yang tak kalah kerennya adalah terdapat masjid yang cukup besar, parkir yang luas, dan tempat PACU KUDA (berada dibelakang gedung).

Didalam supermarket goro terdapat ruangan khusus buah2 an segar setiap hari, frozzen food, dan ikan segar.. Waahh pokoknya komplit mantaapp. Recomended yaaa",positif,,2
4,setahun lalu,Tempat belanja dri anak2 msih kecil sampai sekarang sdh dewasa t4 yang nyaman,positif,,2
1,2 tahun lalu,"surat terbuka untuk pemilik dan mbak-mbak pegawai penitipan barang assalaam hypermarket yang bekerja pada hari sabtu tanggal 18 mei 2024 dengan shift kerja malam hari hingga tutup, LU KALO KERJA DI PENITIPAN BARANG YANG BENER, ORANG BARANG DITITIPIN SEBELUMNYA GA ADA YANG PECAH ABIS DIAMBIL ISINYA PECAH SEMUA, MANA TANGGUNGJAWAB LU NGEJAGA BARANG ORANG? BUKANNYA DIRAWAT MALAH DIHANCURIN, pelayanan lu sampah, no offense",negatif,,0
3,setahun lalu,"Pelayan kasirnya perlu belajar ke sami laris swalayan klaten . ( disini terlalu lambat dan kurang sat set ngescan aja lemot , masukin barang lemot ) semoga bisa jadi pertimbangan pihak menegeent",negatif,,0
5,5 tahun lalu,"Parkirnya luas banget, sering ada pameran dan cocok banget buat kalian yang lagi cari buku ataupun pakaian muslimah bahkan tanaman juga loh.. ada warung juga jadi ngga perlu khawatir. parkirnya gratis. yuk mampir 🌻",positif,,2
4,7 tahun lalu,"Tempat parkir luas
Ada masjid
Ada toilet banyak
Ada banyak foodcourt
Banyak yang dijual",positif,,2
5,7 tahun lalu,"Lokasi sangat strategis. Tempat parkir sangat luas dan gratis. Semua barang kebutuhan sehari-hari lengkap tersedia. Ada masjid besar yg sekaligus bisa jadi rest area. Mesin ATM dari bank-bank ternama tersedia di luar dan area dalam. Foodcourt ada banyak. Area permainan anak juga tersedia. Di dalam juga ada ruangan luas yg sering dijadikan tempat bazaar / book fair.
Terakhir kemaren ada wahana berkuda di sebelah barat gedung.",positif,,2
5,4 tahun lalu,"Tempat paling nyaman untuk belanja. Sangat lengkap. Dari kebutuhan makanan, pakaian, alat dapur, furniture, buku bacaan, arena permainan anak, resto dan kue2 kekinian. Harga bersaing. Parkir luas. Favoritnya adalah masjid yg indah. Bersih luas. Tiap waktu sholat penuh jamaah. Alhamdulillah, meski pada belanja jg nggak khawatir nyari tempat ibadah.
Juga sering mengadakan event seperti bookfair, festival2 dan pameran komunitas. Pernah lihat pas pameran reptil.",positif,,2
5,4 tahun lalu,"Enak banget disini tempat belanja luassss dan ramah anak.
Di halaman bagian paling belakang ada arena latihan naik kuda, cocok untuk wisata keluarga dengan berkuda.
Ada pula kios tanaman hias di dekat arena berkuda, tanamannya bagus².
Lengkap banget disini mah 🤭",positif,,2
5,7 tahun lalu,"Banyak barang yang di jual,buah,baju,perabotan rumah,elektronik,makanan, dah terjangkau",positif,,2
5,Diedit 3 tahun lalu,"Belanja halal, murah, dan nyaman. Satu tempat untuk ratusan kebutuhan. Belanja, bermain, kuliner, ibadah, hingga olahraga. Belanja segala jenis kebutuhan, ada bahan makanan, pakaian, obat - obatan, kosmetik, dan aneka makanan siap saji. Arena bermain anak dengan beragam jenis mainan. Masjid besar untuk sholat atau pengajian. Sentra kuliner dalam maupun luar supermarket. Parkir luas dan nyaman. Arena olahraga berkuda, memanah dan banyak ATV.",positif,,2
5,7 tahun lalu,"Swalayan yang ramah pada pengunjung dan lingkungan. Beragam kebutuhan tersedia di dalamnya. Belanja disini dijamin disediakan hadiah yang sangatttt menarik, UMROH, Mobil, dan banyak hadiah yang menarik....  Wahana permainan anak2 banyak pilihannya. Gerai makanan berjejer lengkap, murah, enak, dan bersih. Wahana berkuda dan memanah tersedia. Masjidnya sangat besar dan berarsitek modern menyediakan snack gratis. Tak kalah menariknya lahan parkir yang sangat luas, baik untuk kendaraan roda 4 maupun roda dua. A-ha..... satu ini yang tidak dimiliki di tempat lain.... TAK ADA BIAYA UNTUK PARKIR alias GRATISSSS.",positif,,2
5,5 bulan lalu,Lengkap deh pokoknya👍🏻👍🏻,positif,,2
5,4 tahun lalu,"Tempat belanja bulanan ternyaman. Parkiran luas, tempat belanja lengkap + luas, harga terjangkau, kalau member bisa dapet poin dan ditukarkan barang belanjaan.
Selain tempat belanja ada juga stand2 jajanan, soto, masjid dan barbershop.
Cuma sayang jalan dari parkiran motor ke loby agak jauh dan kalo hujan kehujanan.",positif,,2
